feature,importance,fold
PREV_NAME_CASH_LOAN_PURPOSE_Payments_on_other_loans_MEAN,3,1
PREV_NAME_CASH_LOAN_PURPOSE_Purchase_of_electronic_equipment_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Refusal_to_name_the_goal_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Repairs_MEAN,132,1
PREV_NAME_CASH_LOAN_PURPOSE_Urgent_needs_MEAN,144,1
PREV_NAME_CASH_LOAN_PURPOSE_Wedding_gift_holiday_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_XAP_MEAN,81,1
PREV_NAME_CASH_LOAN_PURPOSE_XNA_MEAN,519,1
PREV_NAME_CASH_LOAN_PURPOSE_nan_MEAN,0,1
PREV_NAME_CONTRACT_STATUS_Approved_MEAN,485,1
PREV_NAME_CONTRACT_STATUS_Canceled_MEAN,399,1
PREV_NAME_CONTRACT_STATUS_Refused_MEAN,312,1
PREV_NAME_CONTRACT_STATUS_Unused_offer_MEAN,79,1
PREV_NAME_CONTRACT_STATUS_nan_MEAN,0,1
PREV_NAME_PAYMENT_TYPE_Cash_through_the_bank_MEAN,557,1
PREV_NAME_PAYMENT_TYPE_Cashless_from_the_account_of_the_employer_MEAN,0,1
PREV_NAME_PAYMENT_TYPE_Non_cash_from_your_account_MEAN,72,1
PREV_NAME_PAYMENT_TYPE_XNA_MEAN,683,1
PREV_NAME_PAYMENT_TYPE_nan_MEAN,0,1
PREV_CODE_REJECT_REASON_CLIENT_MEAN,5,1
PREV_CODE_REJECT_REASON_HC_MEAN,306,1
PREV_CODE_REJECT_REASON_LIMIT_MEAN,103,1
PREV_CODE_REJECT_REASON_SCO_MEAN,263,1
PREV_CODE_REJECT_REASON_SCOFR_MEAN,59,1
PREV_CODE_REJECT_REASON_SYSTEM_MEAN,0,1
PREV_CODE_REJECT_REASON_VERIF_MEAN,50,1
PREV_CODE_REJECT_REASON_XAP_MEAN,303,1
PREV_CODE_REJECT_REASON_XNA_MEAN,24,1
PREV_CODE_REJECT_REASON_nan_MEAN,0,1
PREV_NAME_TYPE_SUITE_Children_MEAN,232,1
PREV_NAME_TYPE_SUITE_Family_MEAN,712,1
PREV_NAME_TYPE_SUITE_Group_of_people_MEAN,39,1
PREV_NAME_TYPE_SUITE_Other_A_MEAN,85,1
PREV_NAME_TYPE_SUITE_Other_B_MEAN,122,1
PREV_NAME_TYPE_SUITE_Spouse_partner_MEAN,311,1
PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN,966,1
PREV_NAME_TYPE_SUITE_nan_MEAN,1076,1
PREV_NAME_CLIENT_TYPE_New_MEAN,461,1
PREV_NAME_CLIENT_TYPE_Refreshed_MEAN,420,1
PREV_NAME_CLIENT_TYPE_Repeater_MEAN,504,1
PREV_NAME_CLIENT_TYPE_XNA_MEAN,20,1
PREV_NAME_CLIENT_TYPE_nan_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Additional_Service_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Animals_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Audio_Video_MEAN,397,1
PREV_NAME_GOODS_CATEGORY_Auto_Accessories_MEAN,58,1
PREV_NAME_GOODS_CATEGORY_Clothing_and_Accessories_MEAN,80,1
PREV_NAME_GOODS_CATEGORY_Computers_MEAN,439,1
PREV_NAME_GOODS_CATEGORY_Construction_Materials_MEAN,147,1
PREV_NAME_GOODS_CATEGORY_Consumer_Electronics_MEAN,375,1
PREV_NAME_GOODS_CATEGORY_Direct_Sales_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Education_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Fitness_MEAN,0,1
